price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,sqft_living_norm,house_age,age_category
221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7,1180,0,1955,0,1340,5650,0.07568027210884352,59,Old
538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7,2170,400,1951,1991,1690,7639,0.19387755102040816,63,Old
180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6,770,0,1933,0,2720,8062,0.040816326530612235,82,Old
604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7,1050,910,1965,0,1360,5000,0.14200680272108843,49,Old
510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8,1680,0,1987,0,1800,7503,0.11819727891156462,28,Middle-Aged
1225000.0,4.0,4.5,5420.0,101930.0,1.0,0,0,3,11,3890,1530,2001,0,4760,101930,0.4362244897959183,13,Middle-Aged
257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7,1715,0,1995,0,2238,6819,0.12117346938775508,19,Middle-Aged
291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7,1060,0,1963,0,1650,9711,0.06547619047619047,52,Old
229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7,1050,730,1960,0,1780,8113,0.12670068027210885,55,Old
323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7,1890,0,2003,0,2390,7570,0.13605442176870747,12,Middle-Aged
662500.0,3.0,2.5,1920.0,9796.0,1.0,0,0,3,8,1860,1700,1965,0,2210,8925,0.13860544217687074,50,Old
468000.0,2.0,1.0,1160.0,6000.0,1.0,0,0,4,7,860,300,1942,0,1330,6000,0.07397959183673469,72,Old
310000.0,3.0,1.0,1920.0,19901.0,1.5,0,0,4,7,1430,0,1927,0,1780,12697,0.13860544217687074,87,Old
400000.0,3.0,1.75,1370.0,9680.0,1.0,0,0,4,7,1370,0,1977,0,1370,10208,0.09183673469387754,37,Middle-Aged
530000.0,5.0,2.0,1810.0,4850.0,1.5,0,0,3,7,1810,0,1900,0,1360,4850,0.12925170068027209,115,Old
650000.0,4.0,3.0,2950.0,5000.0,2.0,0,3,3,9,1980,970,1979,0,2140,4000,0.22619047619047616,36,Middle-Aged
395000.0,3.0,2.0,1890.0,14040.0,2.0,0,0,3,7,1890,0,1994,0,1890,14018,0.13605442176870747,20,Middle-Aged
485000.0,4.0,1.0,1600.0,4300.0,1.5,0,0,4,7,1600,0,1916,0,1610,4300,0.11139455782312924,98,Old
189000.0,3.0,1.0,1200.0,9850.0,1.0,0,0,4,7,1200,0,1921,0,1060,5095,0.07738095238095237,93,Old
230000.0,3.0,1.0,1250.0,9774.0,1.0,0,0,4,7,1250,0,1969,0,1280,8850,0.08163265306122448,46,Old
385000.0,4.0,1.75,1620.0,4980.0,1.0,0,0,4,7,860,760,1947,0,1400,4980,0.11309523809523808,67,Old
2000000.0,3.0,2.75,3050.0,44867.0,1.0,0,4,3,9,2330,720,1968,0,4110,20336,0.2346938775510204,46,Old
285000.0,5.0,2.5,2270.0,6300.0,2.0,0,0,3,8,2270,0,1995,0,2240,7005,0.1683673469387755,19,Middle-Aged
252700.0,3.0,1.5,1920.0,7620.0,1.0,0,0,3,7,1070,0,1985,0,1220,8386,0.13860544217687074,29,Middle-Aged
329000.0,3.0,2.25,2450.0,6500.0,2.0,0,0,4,8,2450,0,1985,0,2200,6865,0.18367346938775508,29,Middle-Aged
233000.0,3.0,2.0,1710.0,4697.0,1.5,0,0,5,6,1710,0,1941,0,1030,4705,0.12074829931972789,73,Old
937000.0,3.0,2.25,2450.0,2691.0,2.0,0,0,3,8,1750,700,1915,0,1760,3573,0.18367346938775508,99,Old
667000.0,3.0,1.0,1400.0,1581.0,1.5,0,0,5,8,1400,0,1909,0,1860,3861,0.09438775510204081,105,Old
438000.0,3.0,1.75,1520.0,6380.0,1.0,0,0,3,7,790,730,1948,0,1520,6235,0.10459183673469388,66,Old
719000.0,4.0,2.5,2570.0,7173.0,2.0,0,0,3,8,2570,0,2005,0,2630,6026,0.19387755102040816,10,New
580500.0,3.0,2.5,2320.0,3980.0,2.0,0,0,3,8,2320,0,2003,0,2580,3980,0.17261904761904762,11,Middle-Aged
280000.0,3.0,1.5,1190.0,1265.0,3.0,0,0,3,7,1190,0,2005,0,1390,1756,0.07653061224489795,9,New
687500.0,3.0,1.75,1920.0,5000.0,1.5,0,0,4,7,1510,820,1929,0,1460,5000,0.13860544217687074,85,Old
535000.0,3.0,1.0,1090.0,3000.0,1.5,0,0,4,8,1090,0,1929,0,1570,5080,0.06802721088435373,85,Old
322500.0,4.0,2.75,2060.0,6659.0,1.0,0,0,3,7,1280,780,1981,0,2020,8720,0.15051020408163265,33,Middle-Aged
696000.0,3.0,2.5,2300.0,3060.0,1.5,0,0,3,8,1510,790,1930,2002,1590,3264,0.17091836734693877,84,Old
550000.0,4.0,1.0,1660.0,34848.0,1.0,0,0,1,5,930,730,1933,0,2160,11467,0.11649659863945577,81,Old
640000.0,4.0,2.0,1920.0,6000.0,2.0,0,0,4,8,2360,0,1904,0,1730,4700,0.13860544217687074,110,Old
240000.0,4.0,1.0,1920.0,8075.0,1.0,0,0,2,7,890,330,1969,0,1290,7800,0.13860544217687074,46,Old
605000.0,4.0,2.5,2620.0,7553.0,2.0,0,0,3,8,2620,0,1996,0,2620,11884,0.19812925170068027,18,Middle-Aged
625000.0,4.0,2.5,2570.0,5520.0,2.0,0,0,3,9,2570,0,2000,0,2470,5669,0.19387755102040816,14,Middle-Aged
775000.0,4.0,2.25,4220.0,24186.0,1.0,0,0,3,8,2600,1620,1984,0,2410,30617,0.3341836734693877,30,Middle-Aged
861990.0,5.0,2.75,3595.0,5639.0,2.0,0,0,3,9,3595,0,2014,0,3625,5639,0.2810374149659864,0,New
685000.0,3.0,1.0,1570.0,2280.0,2.0,0,0,3,7,1570,0,1922,0,1580,2640,0.10884353741496597,92,Old
309000.0,3.0,1.0,1280.0,9656.0,1.0,0,0,4,6,920,360,1959,0,1340,8808,0.08418367346938775,55,Old
488000.0,3.0,2.5,3160.0,13603.0,2.0,0,0,3,8,3160,0,2003,0,3050,9232,0.244047619047619,11,Middle-Aged
210490.0,3.0,1.0,990.0,8528.0,1.0,0,0,3,6,990,0,1966,0,1228,8840,0.05952380952380952,49,Old
785000.0,4.0,2.5,2290.0,13416.0,2.0,0,0,4,9,2290,0,1981,0,2680,13685,0.17006802721088435,33,Middle-Aged
450000.0,3.0,1.75,1250.0,5963.0,1.0,0,0,4,7,1250,0,1953,0,970,5100,0.08163265306122448,62,Old
1350000.0,3.0,2.5,2753.0,65005.0,1.0,1,2,5,9,2165,588,1953,0,2680,72513,0.20943877551020407,62,Old
228000.0,3.0,1.0,1190.0,9199.0,1.0,0,0,3,7,1190,0,1955,0,1190,9364,0.07653061224489795,59,Old
345000.0,5.0,2.5,3150.0,9134.0,1.0,0,0,4,8,1640,1510,1966,0,1990,9133,0.24319727891156462,49,Old
600000.0,3.0,1.75,1410.0,4080.0,1.0,0,0,4,7,1000,410,1950,0,1410,4080,0.09523809523809523,64,Old
585000.0,2.0,1.75,1980.0,8550.0,1.0,0,0,3,7,990,990,1981,0,1480,6738,0.14370748299319727,34,Middle-Aged
920000.0,3.0,2.25,2730.0,6000.0,1.5,0,0,3,8,2130,600,1927,0,2730,6000,0.2074829931972789,88,Old
885000.0,4.0,2.5,2830.0,5000.0,2.0,0,0,3,9,2830,0,1995,0,1950,5000,0.21598639455782312,19,Middle-Aged
292500.0,4.0,2.5,2250.0,4495.0,2.0,0,0,3,7,2250,0,2008,0,2250,4500,0.16666666666666666,6,New
301000.0,3.0,2.5,2420.0,4750.0,2.0,0,0,3,8,2420,0,2003,0,2690,4750,0.18112244897959182,12,Middle-Aged
951000.0,5.0,3.25,3250.0,14342.0,2.0,0,4,4,8,3250,0,1968,0,2960,11044,0.25170068027210885,46,Old
430000.0,4.0,3.0,1920.0,9976.0,2.0,0,0,3,8,1850,0,1991,0,2270,8542,0.13860544217687074,24,Middle-Aged
650000.0,3.0,2.25,2150.0,21235.0,1.0,0,3,4,8,1590,560,1959,0,2570,18900,0.15816326530612243,55,Old
289000.0,3.0,1.75,1260.0,8400.0,1.0,0,0,3,7,1260,0,1954,0,1290,8750,0.0824829931972789,60,Old
505000.0,3.0,1.75,2519.0,8690.0,2.0,0,0,5,8,2519,0,1973,0,2500,9500,0.1895408163265306,41,Old
549000.0,3.0,1.75,1540.0,1044.0,3.0,0,0,3,8,1540,0,2014,0,1580,3090,0.1062925170068027,0,New
425000.0,3.0,2.25,1660.0,6000.0,1.0,0,0,3,7,1110,550,1979,0,1440,4080,0.11649659863945577,35,Middle-Aged
317625.0,3.0,2.75,2770.0,3809.0,1.5,0,0,5,7,1770,1000,1925,0,1440,4000,0.21088435374149658,89,Old
975000.0,4.0,2.5,2720.0,11049.0,2.0,0,0,3,10,2720,0,1989,0,2750,11049,0.20663265306122447,25,Middle-Aged
287000.0,4.0,2.5,2240.0,4648.0,2.0,0,0,3,7,2240,0,2005,0,2221,4557,0.16581632653061223,9,New
204000.0,3.0,1.0,1000.0,12070.0,1.0,0,0,4,7,1000,0,1968,0,1010,12635,0.06037414965986394,46,Old
1325000.0,5.0,2.25,3200.0,7620.0,1.0,0,0,3,8,1600,1600,1965,0,3390,20158,0.2474489795918367,49,Old
1040000.0,5.0,3.25,4770.0,50094.0,1.0,0,0,4,11,3070,1700,1973,0,3530,38917,0.38095238095238093,41,Old
325000.0,3.0,2.0,1260.0,5612.0,1.0,0,0,4,7,1260,0,1972,0,1640,4745,0.0824829931972789,43,Old
571000.0,4.0,2.0,2750.0,7807.0,1.5,0,0,5,7,2250,500,1916,0,1510,7807,0.20918367346938774,98,Old
360000.0,4.0,2.5,2380.0,5000.0,2.0,0,0,3,8,2380,0,2005,0,2420,5000,0.17772108843537412,9,New
349000.0,3.0,1.75,1790.0,50529.0,1.0,0,0,5,7,1090,700,1965,0,1940,50529,0.12755102040816327,50,Old
832500.0,4.0,4.0,3430.0,35102.0,2.0,0,0,4,10,2390,1040,1986,0,3240,35020,0.2670068027210884,28,Middle-Aged
380000.0,4.0,1.75,1760.0,7300.0,1.0,0,0,3,7,880,880,1956,0,1680,7500,0.125,58,Old
480000.0,3.0,1.0,1040.0,5060.0,1.0,0,0,3,7,1040,0,1941,0,890,5060,0.06377551020408162,74,Old
410000.0,3.0,1.0,1410.0,5060.0,1.0,0,0,4,7,910,500,1956,0,1130,5693,0.09523809523809523,58,Old
720000.0,4.0,2.5,3450.0,39683.0,2.0,0,0,3,10,3450,0,2002,0,3350,39750,0.26870748299319724,13,Middle-Aged
390000.0,3.0,2.5,2350.0,5100.0,2.0,0,0,3,8,2350,0,2003,0,2350,5363,0.17517006802721088,11,Middle-Aged
360000.0,4.0,2.5,1900.0,5889.0,2.0,0,0,3,7,1900,0,1992,0,1870,6405,0.1369047619047619,22,Middle-Aged
355000.0,2.0,1.0,2020.0,6720.0,1.0,0,0,3,7,1010,1010,1948,0,1720,6720,0.14710884353741496,66,Old
356000.0,3.0,1.5,1680.0,8712.0,1.0,0,0,3,8,1680,0,1964,0,1850,8797,0.11819727891156462,51,Old
315000.0,3.0,1.0,960.0,6634.0,1.0,0,0,3,6,960,0,1952,0,1570,7203,0.05697278911564625,62,Old
940000.0,3.0,1.5,2140.0,3600.0,2.0,0,0,3,9,1900,240,1925,0,2020,4800,0.157312925170068,89,Old
305000.0,5.0,2.25,2660.0,8400.0,1.5,0,0,5,7,2660,0,1961,0,1590,8165,0.20153061224489793,53,Old
461000.0,3.0,3.25,2770.0,6278.0,2.0,0,0,3,9,1980,790,2006,0,1900,7349,0.21088435374149658,8,New
215000.0,2.0,2.25,1920.0,2040.0,2.0,0,0,4,7,1610,0,1979,0,1950,2025,0.13860544217687074,35,Middle-Aged
335000.0,2.0,1.75,1030.0,1066.0,2.0,0,0,3,7,765,265,2006,0,1030,1106,0.06292517006802721,8,New
243500.0,4.0,2.5,1980.0,7403.0,2.0,0,0,3,7,1980,0,1988,0,1980,7510,0.14370748299319727,26,Middle-Aged
1099880.0,5.0,2.75,3520.0,6353.0,2.0,0,0,4,10,3520,0,2001,0,2520,6250,0.27465986394557823,14,Middle-Aged
153000.0,3.0,1.0,1200.0,10500.0,1.0,0,0,3,7,1200,0,1962,0,1350,10500,0.07738095238095237,53,Old
430000.0,3.0,1.5,1580.0,5000.0,1.0,0,0,3,8,1290,290,1939,0,1570,4500,0.10969387755102039,75,Old
905000.0,4.0,2.5,3300.0,7620.0,1.0,0,0,3,7,2390,910,1946,1991,1950,6045,0.25595238095238093,68,Old
247500.0,3.0,1.75,1960.0,15681.0,1.0,0,0,3,7,1960,0,1967,0,1750,15616,0.14200680272108843,48,Old
199000.0,4.0,1.5,1160.0,6400.0,1.0,0,0,4,7,1160,0,1975,0,1160,6400,0.07397959183673469,39,Middle-Aged
314000.0,3.0,1.75,1810.0,41800.0,1.0,0,0,5,7,1210,600,1980,0,1650,135036,0.12925170068027209,34,Middle-Aged
